co_municipio,no_municipio,populacao
353760,PERUIBE,69697
351170,CHARQUEADA,17539
351740,GUAIRA,41283
353960,PLANALTO,5370
350395,ASPASIA,1815
353330,NOVA LUZITANIA,4217
351360,CUNHA,21373
354190,QUELUZ,13788
352770,LUIZIANIA,5918
353210,MURUTINGA DO SUL,4525
354650,SANTA ERNESTINA,5577
350850,CACAPAVA,95752
353800,PINDAMONHANGABA,171885
351060,CARAPICUIBA,405375
350100,ALTINOPOLIS,16221
354765,SANTA SALETE,1558
351980,ICEM,8363
352720,LORENA,89532
351070,CARDOSO,12371
350780,BRODOWSKI,25605
353440,OSASCO,701428
352690,LIMEIRA,310783
352240,ITAPEVA,95241
352800,MACATUBA,17263
351120,CATIGUA,7905
354460,SABINO,5638
353390,OLIMPIA,55477
351220,CONCHAL,28491
353320,NOVA INDEPENDENCIA,4135
355370,TAQUARITINGA,57547
350910,CAIUA,6017
353880,PIRAJU,29930
350580,BASTOS,20952
350120,ALVARES FLORENCE,3616
354420,RIOLANDIA,12856
350860,CACHOEIRA PAULISTA,33827
354210,RAFARD,9126
353290,NOVA EUROPA,11519
354240,REGENTE FEIJO,20523
351330,CRUZALIA,2021
354810,SANTO ANTONIO DO JARDIM,6000
352044,ILHA SOLTEIRA,26886
353060,MOGI DAS CRUZES,455587
355130,SEBASTIANOPOLIS DO SUL,3595
351300,COTIA,257882
351480,ELDORADO,15592
353500,PALESTINA,13285
355100,SAO VICENTE,370839
352280,ITAPORANGA,15197
351390,DIVINOLANDIA,11027
351710,GLICERIO,4842
355290,TACIBA,6371
351495,EMBAUBA,2446
352440,JACAREI,237119
354040,POPULINA,4136
