co_municipio,,no_municipio,,,populacao,,populacao,
354165,",'",QUADRA,,",",3902,,"3,902","INSERT INTO public.populacao VALUES (354165,'QUADRA',3902);"
351310,",'",CRAVINHOS,,",",35858,,"35,858","INSERT INTO public.populacao VALUES (351310,'CRAVINHOS',35858);"
351820,",'",GUARARAPES,,",",33257,,"33,257","INSERT INTO public.populacao VALUES (351820,'GUARARAPES',33257);"
351270,",'",CORUMBATAI,,",",4072,,"4,072","INSERT INTO public.populacao VALUES (351270,'CORUMBATAI',4072);"
#N/A,",'",APARECIDA D OESTE,,",",4100,,"4,122",#N/A
353470,",'",OURINHOS,,",",115139,,"115,139","INSERT INTO public.populacao VALUES (353470,'OURINHOS',115139);"
353580,",'",PARANAPANEMA,,",",20588,,"20,588","INSERT INTO public.populacao VALUES (353580,'PARANAPANEMA',20588);"
350980,",'",CAMPOS NOVOS PAULISTA,,",",5028,,"5,028","INSERT INTO public.populacao VALUES (350980,'CAMPOS NOVOS PAULISTA',5028);"
354850,",'",SANTOS,,",",433991,,"433,991","INSERT INTO public.populacao VALUES (354850,'SANTOS',433991);"
355230,",'",SUD MENNUCCI,,",",7738,,"7,738","INSERT INTO public.populacao VALUES (355230,'SUD MENNUCCI',7738);"
354010,",'",PONGAI,,",",3385,,"3,385","INSERT INTO public.populacao VALUES (354010,'PONGAI',3385);"
350800,",'",BURI,,",",20050,,"20,05","INSERT INTO public.populacao VALUES (350800,'BURI',20050);"
351518,",'",ESPIRITO SANTO DO PINHAL,,",",44607,,"44,607","INSERT INTO public.populacao VALUES (351518,'ESPIRITO SANTO DO PINHAL',44607);"
354260,",'",REGISTRO,,",",56463,,"56,463","INSERT INTO public.populacao VALUES (354260,'REGISTRO',56463);"
354440,",'",RUBIACEA,,",",3195,,"3,195","INSERT INTO public.populacao VALUES (354440,'RUBIACEA',3195);"
355465,",'",TORRE DE PEDRA,,",",2432,,"2,432","INSERT INTO public.populacao VALUES (355465,'TORRE DE PEDRA',2432);"
352340,",'",ITATIBA,,",",124254,,"124,254","INSERT INTO public.populacao VALUES (352340,'ITATIBA',124254);"
351440,",'",DRACENA,,",",47287,,"47,287","INSERT INTO public.populacao VALUES (351440,'DRACENA',47287);"
353240,",'",NAZARE PAULISTA,,",",18866,,"18,866","INSERT INTO public.populacao VALUES (353240,'NAZARE PAULISTA',18866);"
353570,",'",PARAISO,,",",6536,,"6,536","INSERT INTO public.populacao VALUES (353570,'PARAISO',6536);"
350770,",'",BRAUNA,,",",5795,,"5,795","INSERT INTO public.populacao VALUES (350770,'BRAUNA',5795);"
353625,",'",PARISI,,",",2177,,"2,177","INSERT INTO public.populacao VALUES (353625,'PARISI',2177);"
352660,",'",LAVRINHAS,,",",7361,,"7,361","INSERT INTO public.populacao VALUES (352660,'LAVRINHAS',7361);"
352760,",'",LUIS ANTONIO,,",",15000,,0,"INSERT INTO public.populacao VALUES (352760,'LUIS ANTONIO',15000);"
